,precision,recall,f1-score,support
AppleiCloud,0.9951923076923077,1.0,0.9975903614457832,621.0
AppleiTunes,0.9852941176470589,0.9571428571428572,0.9710144927536232,140.0
Dropbox,0.9886670264436049,0.9929539295392954,0.9908058409951325,1845.0
FTP_DATA,1.0,1.0,1.0,32.0
Facebook,0.9706840390879479,0.894,0.9307652264445602,2000.0
GMail,0.9706467661691542,0.9755,0.9730673316708229,2000.0
Github,0.9963154016212233,1.0,0.9981543004798819,1352.0
GoogleDrive,0.9676930843008581,0.9585,0.9630746043707611,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.9764831640833779,0.9481058640373637,0.9620853080568721,1927.0
Instagram,0.9698443579766537,0.997,0.9832347140039448,2000.0
MS_OneDrive,0.9946178686759957,0.9989189189189189,0.9967637540453075,925.0
NetFlix,0.9866220735785953,0.9577922077922078,0.971993410214168,308.0
Skype,0.9804020100502513,0.9893509127789046,0.9848561332660273,1972.0
Snapchat,1.0,0.85,0.9189189189189189,40.0
SoundCloud,0.7714285714285715,0.75,0.7605633802816902,36.0
Spotify,0.9896640826873385,1.0,0.9948051948051948,766.0
Steam,1.0,0.9461538461538461,0.9723320158102766,130.0
TeamViewer,0.9954954954954955,0.9910313901345291,0.9932584269662922,223.0
Telegram,0.9930313588850174,1.0,0.9965034965034965,285.0
Twitter,0.9979497693490518,0.9933673469387755,0.9956532856047047,1960.0
WhatsApp,0.9259445843828715,0.9683877766069547,0.9466907030646406,1898.0
Wikipedia,0.9963369963369964,1.0,0.998165137614679,272.0
YouTube,0.954954954954955,0.9906542056074766,0.9724770642201835,1926.0
eBay,1.0,0.9615384615384616,0.9803921568627451,104.0
accuracy,0.9766858768056284,0.9766858768056284,0.9766858768056284,0.9766858768056284
macro avg,0.976290721233893,0.9648159086875836,0.9701266103359883,26722.0
weighted avg,0.9768832031139042,0.9766858768056284,0.9765563558359143,26722.0
