,precision,recall,f1-score,support
AppleiCloud,0.9936,1.0,0.9967897271268058,621.0
AppleiTunes,0.9722222222222222,1.0,0.9859154929577464,140.0
Dropbox,0.9855382967327263,0.997289972899729,0.9913793103448276,1845.0
FTP_DATA,0.9142857142857143,1.0,0.955223880597015,32.0
Facebook,0.9282051282051282,0.905,0.9164556962025316,2000.0
GMail,0.9425451092117759,0.9925,0.9668777398928398,2000.0
Github,0.9970501474926253,1.0,0.9985228951255538,1352.0
GoogleDrive,1.0,0.736,0.847926267281106,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.9253507014028056,0.958484691229891,0.9416263063981647,1927.0
Instagram,0.9641472868217055,0.995,0.9793307086614174,2000.0
MS_OneDrive,0.9967672413793104,1.0,0.9983810037776578,925.0
NetFlix,0.9966777408637874,0.974025974025974,0.9852216748768472,308.0
Skype,0.9819909954977488,0.9954361054766734,0.9886678418534374,1972.0
Snapchat,0.9459459459459459,0.875,0.9090909090909091,40.0
SoundCloud,0.8205128205128205,0.8888888888888888,0.8533333333333333,36.0
Spotify,0.9973924380704041,0.9986945169712794,0.9980430528375733,766.0
Steam,1.0,0.9384615384615385,0.9682539682539683,130.0
TeamViewer,1.0,0.9910313901345291,0.9954954954954954,223.0
Telegram,1.0,1.0,1.0,285.0
Twitter,0.9964285714285714,0.9964285714285714,0.9964285714285714,1960.0
WhatsApp,0.9385026737967914,0.9246575342465754,0.9315286624203822,1898.0
Wikipedia,1.0,1.0,1.0,272.0
YouTube,0.8472468916518651,0.9906542056074766,0.9133556725706079,1926.0
eBay,1.0,0.9038461538461539,0.9494949494949495,104.0
accuracy,0.9609684903824564,0.9609684903824564,0.9609684903824564,0.9609684903824564
macro avg,0.9657763970208779,0.9624559817286912,0.9626937264008696,26722.0
weighted avg,0.9631987441673561,0.9609684903824564,0.9600465147866704,26722.0
