,precision,recall,f1-score,support
AppleiCloud,0.9920127795527156,1.0,0.9959903769045709,621.0
AppleiTunes,0.9782608695652174,0.9642857142857143,0.9712230215827338,140.0
Dropbox,0.9946062567421791,0.9994579945799458,0.9970262233035957,1845.0
FTP_DATA,0.8611111111111112,0.96875,0.911764705882353,32.0
Facebook,1.0,0.4835,0.6518368722615436,2000.0
GMail,0.9907958852192745,0.915,0.9513906940473096,2000.0
Github,0.9948453608247423,0.9992603550295858,0.9970479704797047,1352.0
GoogleDrive,0.9542060726729716,0.9585,0.9563482165128461,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.9402985074626866,0.9807991696938246,0.9601219202438405,1927.0
Instagram,0.8186294624538367,0.9975,0.8992562542258283,2000.0
MS_OneDrive,0.9989200863930886,1.0,0.9994597514856833,925.0
NetFlix,0.9770491803278688,0.9675324675324676,0.9722675367047309,308.0
Skype,0.9378585086042065,0.9949290060851927,0.9655511811023622,1972.0
Snapchat,1.0,0.85,0.9189189189189189,40.0
SoundCloud,0.8823529411764706,0.8333333333333334,0.8571428571428571,36.0
Spotify,0.9896640826873385,1.0,0.9948051948051948,766.0
Steam,0.991869918699187,0.9384615384615385,0.9644268774703556,130.0
TeamViewer,1.0,0.9910313901345291,0.9954954954954954,223.0
Telegram,0.9895833333333334,1.0,0.9947643979057591,285.0
Twitter,0.9989769820971867,0.9964285714285714,0.9977011494252873,1960.0
WhatsApp,0.8387953941541186,0.9978925184404637,0.9114533205004812,1898.0
Wikipedia,0.9927007299270073,1.0,0.9963369963369962,272.0
YouTube,0.9266409266409267,0.9968847352024922,0.9604802401200601,1926.0
eBay,0.8145161290322581,0.9711538461538461,0.8859649122807017,104.0
accuracy,0.9476835566200135,0.9476835566200135,0.9476835566200135,0.9476835566200135
macro avg,0.9545477807471091,0.9521880256144603,0.9482710034055684,26722.0
weighted avg,0.9538029987371013,0.9476835566200135,0.9425192614347501,26722.0
