,precision,recall,f1-score,support
AppleiCloud,0.9967897271268058,1.0,0.9983922829581994,621.0
AppleiTunes,0.951048951048951,0.9714285714285714,0.96113074204947,140.0
Dropbox,0.9956756756756757,0.9983739837398374,0.9970230040595399,1845.0
FTP_DATA,0.9375,0.9375,0.9375,32.0
Facebook,0.9690889370932755,0.8935,0.9297606659729448,2000.0
GMail,0.9701789264413518,0.976,0.9730807577268196,2000.0
Github,0.9985207100591716,0.9985207100591716,0.9985207100591716,1352.0
GoogleDrive,0.9695276790248857,0.9545,0.9619551524313428,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.9788806758183738,0.9621172807472755,0.9704265898979325,1927.0
Instagram,0.9689320388349515,0.998,0.9832512315270935,2000.0
MS_OneDrive,0.9978425026968716,1.0,0.9989200863930885,925.0
NetFlix,0.9835526315789473,0.9707792207792207,0.9771241830065359,308.0
Skype,0.9869215291750503,0.9949290060851927,0.9909090909090911,1972.0
Snapchat,0.9722222222222222,0.875,0.9210526315789473,40.0
SoundCloud,0.8387096774193549,0.7222222222222222,0.7761194029850746,36.0
Spotify,0.9896507115135834,0.9986945169712794,0.9941520467836258,766.0
Steam,1.0,0.9384615384615385,0.9682539682539683,130.0
TeamViewer,0.9866071428571429,0.9910313901345291,0.9888143176733781,223.0
Telegram,0.9965034965034965,1.0,0.9982486865148862,285.0
Twitter,0.9959162838182747,0.9954081632653061,0.9956621587139576,1960.0
WhatsApp,0.9245472837022133,0.9683877766069547,0.9459598558929492,1898.0
Wikipedia,0.9927007299270073,1.0,0.9963369963369962,272.0
YouTube,0.9644670050761421,0.9865005192107996,0.9753593429158112,1926.0
eBay,1.0,0.9711538461538461,0.9853658536585366,104.0
accuracy,0.9781827707506923,0.9781827707506923,0.9781827707506923,0.9781827707506923
macro avg,0.97463138150455,0.9641003498346299,0.9689327903319744,26722.0
weighted avg,0.9783181417626945,0.9781827707506923,0.9780457624233914,26722.0
