,precision,recall,f1-score,support
AppleiCloud,0.9920127795527156,1.0,0.9959903769045709,621.0
AppleiTunes,0.9929078014184397,1.0,0.9964412811387899,140.0
Dropbox,0.9962182603997839,0.9994579945799458,0.9978354978354979,1845.0
FTP_DATA,0.9666666666666667,0.90625,0.9354838709677419,32.0
Facebook,0.9677245831091985,0.8995,0.9323658979010107,2000.0
GMail,0.9700598802395209,0.972,0.971028971028971,2000.0
Github,0.9948491537895512,1.0,0.9974179269642198,1352.0
GoogleDrive,0.968068930562595,0.955,0.9614900578907626,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.9783869267264101,0.9631551634665283,0.9707112970711297,1927.0
Instagram,0.9703018500486855,0.9965,0.9832264430192403,2000.0
MS_OneDrive,1.0,1.0,1.0,925.0
NetFlix,1.0,0.9707792207792207,0.985172981878089,308.0
Skype,0.9898938858009095,0.9934077079107505,0.9916476841305999,1972.0
Snapchat,0.9230769230769231,0.9,0.9113924050632911,40.0
SoundCloud,0.8717948717948718,0.9444444444444444,0.9066666666666667,36.0
Spotify,0.9948051948051948,1.0,0.9973958333333334,766.0
Steam,0.9919354838709677,0.9461538461538461,0.9685039370078741,130.0
TeamViewer,0.9822222222222222,0.9910313901345291,0.9866071428571429,223.0
Telegram,1.0,1.0,1.0,285.0
Twitter,1.0,0.9948979591836735,0.9974424552429668,1960.0
WhatsApp,0.9281740010116338,0.9668071654373024,0.9470967741935484,1898.0
Wikipedia,0.9963369963369964,1.0,0.998165137614679,272.0
YouTube,0.9667003027245207,0.9948078920041536,0.9805527123848516,1926.0
eBay,1.0,0.9711538461538461,0.9853658536585366,104.0
accuracy,0.979342863558117,0.979342863558117,0.979342863558117,0.979342863558117
macro avg,0.9776854685663123,0.9746138652099297,0.9759200481901406,26722.0
weighted avg,0.9794787174041927,0.979342863558117,0.9792429057658407,26722.0
